step,portfolio_value,price,position,balance,shares,reward,action
191,100008.95076183001,234.56,매수,0.0023138300177834026,426.3683,0.019192220308984834,0.32827583
192,100002.55523733,234.545,매수,0.0023138300177834026,426.3683,-0.0031974760515393807,0.09664196
193,99969.89542555001,234.4684,매수,0.0023138300177834026,426.3683,-0.016329488632804482,0.21420315
194,99859.72185683002,234.21,매수,0.0023138300177834026,426.3683,-0.05510337299594702,0.7913905
195,99955.65472433002,234.435,매수,0.0023138300177834026,426.3683,0.04803381469334539,0.3122771
196,99919.41341883001,234.35,매수,0.0023138300177834026,426.3683,-0.018128691968432264,0.14430389
197,99893.83132083001,234.29,매수,0.0023138300177834026,426.3683,-0.012801365182543172,0.53656805
198,99919.41341883001,234.35,매수,0.0023138300177834026,426.3683,0.01280464352089804,0.3088393
199,99874.64474733,234.245,매수,0.0023138300177834026,426.3683,-0.022402389069452373,0.34749892
200,99868.24922283001,234.23,매수,0.0023138300177834026,426.3683,-0.0032017758441974706,0.70876867
201,99842.66712483001,234.17,매수,0.0023138300177834026,426.3683,-0.012807923538801183,0.35216364
202,99787.23924583,234.04,매수,0.0023138300177834026,426.3683,-0.027757611348017273,0.4063026
203,99693.43821983002,233.82,매수,0.0023138300177834026,426.3683,-0.047000511643028695,0.43707588
204,99757.39346483,233.97,매수,0.0023138300177834026,426.3683,0.03207595511901443,0.5040438
205,99712.62479333002,233.865,매수,0.0023138300177834026,426.3683,-0.022438773681356602,0.3997916
206,99561.39195732001,233.5103,매수,0.0023138300177834026,426.3683,-0.07583434711675725,0.98767287
207,99599.63719383001,233.6,매수,0.0023138300177834026,426.3683,0.0192068610924998,0.7087424
208,99504.94079440001,233.3779,매수,0.0023138300177834026,426.3683,-0.04753852629287913,0.9049522
209,99535.68194883001,233.45,매수,0.0023138300177834026,426.3683,0.015447049254325879,0.8016105
210,99471.72670383002,233.3,매수,0.0023138300177834026,426.3683,-0.03212679299915213,0.39351842
